GreyhoundName,,GreyhoundName,Earmark,Reg Date,Active,Colour,Sex,Whelp Date,Retirement Type,Status Meaning,NoticeSentBy
KEADY NAP,334661,KEADY NAP,VSXUE,,False,bk,D,02/08/2020,DIE,Died/Put To Sleep,2022-09-16 07:33:00
KEEL SPY,577373,KEEL SPY,YUJ3,,False,bk,D,21/02/2018,RET,Still at premises,2022-08-20 07:34:00
KEEPER HILL SNOW,471551,KEEPER HILL SNOW,UHNPH,,False,bk,D,01/10/2019,EUT,Died/Put To Sleep,2022-09-16 07:33:00
KEEPERHILL ELVIS,665796,KEEPERHILL ELVIS,XUXRS,,False,dkbd,D,26/01/2021,EUT,Died/Put To Sleep,2022-09-05 07:31:00
KEEPERHILL STAN,267372,KEEPERHILL STAN,XUJBD,,False,bd,D,26/01/2021,EUT,Died/Put To Sleep,2022-09-16 07:33:00
KEEV CAPTAIN,635251,KEEV CAPTAIN,UTMIQ,,False,bk,D,04/09/2019,DIE,Died/Put To Sleep,2022-08-26 07:33:00
KEEV EMPRESS,229996,KEEV EMPRESS,UTXZY,,False,bk,B,04/09/2019,DIE,Died/Put To Sleep,2022-06-17 07:33:00
KEEV JETSY,575589,KEEV JETSY,UTATD,,False,bk,B,04/09/2019,DIE,Died/Put To Sleep,2022-07-27 07:34:00
KEEV MAJOR,651259,KEEV MAJOR,UTQAS,,False,bk,D,04/09/2019,DIE,Died/Put To Sleep,2022-08-31 07:34:00
KEEV MOON,575563,KEEV MOON,UTDVI,,False,bk,B,04/09/2019,DIE,Died/Put To Sleep,2022-08-30 07:33:00
KEEV SURPRISE,493776,KEEV SURPRISE,SKXQE,,False,wbebd,D,01/10/2017,DIE,Died/Put To Sleep,2022-08-30 07:33:00
KELMAR HONEY,29764,KELMAR HONEY,TTAEQ,02/04/2021,False,bk,B,08/07/2018,EUT,Died/Put To Sleep,2021-09-12 13:40:00
KELSEYS BOBBY,493069,KELSEYS BOBBY,SJJJN,,False,f,D,02/05/2017,DIE,Died/Put To Sleep,2022-02-28 06:30:00
KELSEYS ROCKET,707853,KELSEYS ROCKET,XXYPT,,False,bk,D,01/03/2021,DIE,Died/Put To Sleep,2022-08-21 07:33:00
KENTUCKY,252279,KENTUCKY,VDTMZ,,False,wbe,D,17/01/2020,DIE,Died/Put To Sleep,2022-05-11 10:32:00
KERABELLEC JOEY,937035,KERABELLEC JOEY,XDBBT,20/11/2021,False,bkw,D,20/11/2021,EUT,Died/Put To Sleep,2022-08-09 07:33:00
KEREIGHT ROAD,627806,KEREIGHT ROAD,UDYZI,,False,bk,B,13/11/2019,RET,Still at premises,2022-08-06 07:34:00
KERRYROAD BALE,445821,KERRYROAD BALE,XPJTB,,False,be,B,05/08/2021,DIE,Died/Put To Sleep,2022-08-20 07:34:00
KERRYROAD JOHN,681404,KERRYROAD JOHN,XPHAH,,False,be,D,18/02/2021,DIE,Died/Put To Sleep,2022-08-20 07:34:00
KEYHOLE AVA,188945,KEYHOLE AVA,VXUKT,,False,bk,B,31/10/2020,DIE,Died/Put To Sleep,2022-05-11 10:32:00
KIERANS WELL,248084,KIERANS WELL,VVMXH,,True,bk,D,05/02/2020,RET,Still at premises,2022-09-16 07:33:00
KILARA DELTA,915289,KILARA DELTA,XDJBA,,False,bk,D,24/09/2021,EUT,Died/Put To Sleep,2022-09-07 07:34:00
KILARA JULIE,688357,KILARA JULIE,XDLDL,,True,be,B,02/03/2021,RET,Still at premises,2022-09-07 07:34:00
KILARA MIDNIGHT,164644,KILARA MIDNIGHT,VDDBL,,False,bk,B,15/02/2020,RET,Transfer is complete,2022-06-03 07:34:00
KILARA MOONLIGHT,222723,KILARA MOONLIGHT,VDTUZ,,False,bebd,B,15/02/2020,RET,,2022-08-20 07:34:00
KILARA ODESSA,164748,KILARA ODESSA,VDPPV,,True,bk,B,02/01/2020,RET,Still at premises,2022-09-17 07:33:00
KILBARRY SHADOW,772886,KILBARRY SHADOW,VLIEX,,False,bd,D,06/09/2020,EUT,Died/Put To Sleep,2022-09-04 07:32:00
KILBARRY TEARS,115048,KILBARRY TEARS,UXXUD,,False,bk,B,15/03/2019,RET,Still at premises,2022-08-21 07:33:00
KILBOBBIN TIM,654099,KILBOBBIN TIM,UJRNN,,False,wf,D,14/06/2019,EUT,Died/Put To Sleep,2022-01-25 10:08:00
KILBREEDY ENYA,942783,KILBREEDY ENYA,YPXPK,08/02/2022,False,bk,B,08/02/2022,EUT,Died/Put To Sleep,2022-09-16 07:33:00
KILBREEDY MAID,942919,KILBREEDY MAID,YPVAH,08/02/2022,False,bk,B,08/02/2022,EUT,Died/Put To Sleep,2022-09-16 07:33:00
KILCARN BUDDY,74364,KILCARN BUDDY,SUEEL,,False,bk,D,09/07/2017,RET,Still at premises,2022-08-21 07:33:00
KILCARN PRINCE,502265,KILCARN PRINCE,SUABI,,True,bk,D,09/07/2017,RET,Still at premises,2022-07-25 07:33:00
KILCARRIG MAGPIE,786162,KILCARRIG MAGPIE,VDZED,,False,wbk,D,02/10/2020,DIE,Died/Put To Sleep,2022-08-26 07:33:00
KILCASH DOT,211420,KILCASH DOT,VBDDP,,False,bkw,B,10/10/2020,DIE,Died/Put To Sleep,2022-08-07 07:32:00
KILCASH LARRY,211384,KILCASH LARRY,VBBSM,,False,bk,D,10/10/2020,DIE,Died/Put To Sleep,2022-07-15 07:32:00
KILCASH TOTO,511331,KILCASH TOTO,TBXLM,,False,bk,B,24/07/2018,RET,Still at premises,2022-06-23 07:32:00
KILCOKE FAWN,589528,KILCOKE FAWN,VTXHU,,False,f,D,08/04/2020,DIE,Died/Put To Sleep,2022-09-17 07:33:00
KILCOMMON LAD,347088,KILCOMMON LAD,XHIEL,,False,bk,D,22/04/2021,EUT,Died/Put To Sleep,2022-06-03 07:34:00
KILCOMMON TINA,457740,KILCOMMON TINA,VSLKU,,False,bk,B,01/08/2020,DIE,Died/Put To Sleep,2022-07-20 07:32:00
KILCORMACK MOLLY,518089,KILCORMACK MOLLY,TNIJI,,False,wbebd,B,12/09/2018,RET,Still at premises,2022-09-13 07:33:00
KILCURRA MINNIE,81729,KILCURRA MINNIE,TYJVD,,False,wbk,B,29/07/2018,DIE,Died/Put To Sleep,2022-09-17 07:33:00
KILCURRA REILLY,309438,KILCURRA REILLY,VYTUJ,,False,bk,B,22/06/2020,DIE,Died/Put To Sleep,2022-08-26 07:33:00
KILDALLON PEARL,18786,KILDALLON PEARL,UPLHA,18/10/2019,False,bk,B,11/07/2019,RET,Licence Unsuspended,2022-08-07 07:32:00
KILGOWAN DAME,783319,KILGOWAN DAME,XTLSZ,,False,bk,B,28/05/2021,EUT,Died/Put To Sleep,2022-09-03 07:34:00
KILGOWAN GINA,839130,KILGOWAN GINA,VTJDD,,False,bk,B,09/08/2020,EUT,Died/Put To Sleep,2022-09-03 07:34:00
KILGOWAN PAM,171204,KILGOWAN PAM,VVNEY,,False,bk,B,28/09/2020,DIE,Died/Put To Sleep,2022-09-12 07:33:00
KILGRANEY BAZ,297793,KILGRANEY BAZ,VDJTL,,False,be,D,25/11/2020,DIE,Died/Put To Sleep,2022-06-29 07:32:00
KILGRANEY BENJI,687730,KILGRANEY BENJI,VDIKJ,,False,bd,D,25/11/2020,DIE,Died/Put To Sleep,2022-09-03 07:34:00
KILGRANEY COOKIE,297871,KILGRANEY COOKIE,VDJUL,,False,bef,B,25/11/2020,RET,Identified for Racing,2022-08-29 07:33:00
KILGRANEY HILL,432072,KILGRANEY HILL,XDZBV,,False,bk,D,02/06/2021,DIE,Died/Put To Sleep,2022-08-31 07:34:00
KILGRANEY SAINT,687823,KILGRANEY SAINT,VDRUS,,False,bk,D,25/11/2020,RET,Still at premises,2022-09-03 07:34:00
KILGRANEY SKYE,711133,KILGRANEY SKYE,VXTTE,,False,dkbd,B,14/07/2020,DIE,Died/Put To Sleep,2022-09-11 07:34:00
KILGRANEY SYDNEY,704178,KILGRANEY SYDNEY,VXULX,,False,bk,D,10/03/2020,RET,Still at premises,2022-09-13 07:33:00
KILKENNY CAPRI,100240,KILKENNY CAPRI,TBRLB,,False,wdkbd,B,14/09/2018,EUT,Died/Put To Sleep,2022-06-13 07:33:00
KILKENNY COCO,274425,KILKENNY COCO,QBQTZ,,True,be,B,02/07/2015,RET,Still at premises,2022-08-19 07:34:00
KILKENNY JET,717139,KILKENNY JET,RBALE,,True,bk,B,22/12/2015,RET,Still at premises,2022-08-20 07:34:00
KILKITT BEAUTYS,699249,KILKITT BEAUTYS,VDMES,,False,dkbd,B,14/02/2020,RET,Still at premises,2022-09-05 07:31:00
KILLACULLA SONG,546571,KILLACULLA SONG,UTYXB,,False,bk,B,01/06/2019,DIE,Died/Put To Sleep,2022-09-17 07:33:00
KILLAHAN BOCKO,93826,KILLAHAN BOCKO,TYUVL,,False,bk,D,13/09/2018,DIE,Died/Put To Sleep,2022-09-02 07:33:00
KILLAHAN SYDNEY,605410,KILLAHAN SYDNEY,XYADK,,False,bk,D,12/09/2020,RET,Transfer is complete,2022-09-12 07:33:00
KILLALA TIGER,522897,KILLALA TIGER,TLSLZ,,False,bd,D,10/10/2018,EUT,Died/Put To Sleep,2022-09-10 07:34:00
KILLAMERY TIGER,908836,KILLAMERY TIGER,XBJAJ,,False,bd,D,05/10/2021,EUT,Died/Put To Sleep,2022-08-20 07:34:00
KILLANIN KNIGHT,331139,KILLANIN KNIGHT,VRLHE,,False,bk,D,01/03/2020,DIE,Died/Put To Sleep,2022-06-09 07:33:00
KILLANIN LISA,772072,KILLANIN LISA,XVMUN,,False,bk,B,26/06/2021,DIE,Died/Put To Sleep,2022-08-26 07:33:00
KILLANIN STAR,79743,KILLANIN STAR,SQKPI,,False,bk,B,11/06/2017,DIE,Died/Put To Sleep,2022-04-20 12:45:00
KILLAREE SALAH,65042,KILLAREE SALAH,THKQT,,False,wf,B,15/01/2018,DIE,Died/Put To Sleep,2022-04-20 14:52:00
KILLEACLE SANSA,500216,KILLEACLE SANSA,TYKJL,,True,bk,B,04/04/2018,RET,Still at premises,2022-08-05 07:33:00
KILLEE BAY,924528,KILLEE BAY,XPIPV,,False,bk,B,08/12/2021,DIE,Died/Put To Sleep,2022-08-15 07:32:00
KILLEE NORTH,301337,KILLEE NORTH,ULDDE,,False,bk,D,06/10/2019,DIE,Died/Put To Sleep,2022-06-09 07:33:00
KILLEIGH BABY,32905,KILLEIGH BABY,UNHBQ,21/04/2021,False,bk,B,10/09/2019,RET,Transfer is complete,2022-09-08 07:33:00
KILLESHIL BEAUTY,563300,KILLESHIL BEAUTY,UNLJX,,False,bk,B,22/06/2019,RET,Still at premises,2022-07-07 07:33:00
KILLESHIL CADDY,593592,KILLESHIL CADDY,VVDHN,,False,bkw,D,23/10/2020,EUT,Died/Put To Sleep,2022-09-13 07:33:00
KILLESHIL HOUSE,591352,KILLESHIL HOUSE,VXAMH,,False,bd,D,03/10/2020,DIE,Died/Put To Sleep,2022-08-26 07:33:00
KILLESHIL KING,651229,KILLESHIL KING,UNSKD,,False,bk,D,22/06/2019,DIE,Died/Put To Sleep,2022-08-23 07:32:00
KILLESHIL LILY,74092,KILLESHIL LILY,TNSEV,,True,bebd,B,05/05/2018,RET,Still at premises,2022-08-26 07:33:00
KILLESHIL NICO,249491,KILLESHIL NICO,UNIET,,False,bk,D,22/06/2019,DIE,Died/Put To Sleep,2022-07-24 07:33:00
KILLESHIL OSCAR,74184,KILLESHIL OSCAR,TNPDS,,False,bk,D,05/05/2018,DIE,Died/Put To Sleep,2022-08-17 07:36:00
KILLESHIL ROXY,563347,KILLESHIL ROXY,UNIHT,,False,bk,B,22/06/2019,DIE,Died/Put To Sleep,2022-09-11 07:34:00
KILLESHIL SAM,502192,KILLESHIL SAM,TNZAB,,False,bk,D,05/05/2018,DIE,Died/Put To Sleep,2021-12-15 06:02:00
KILLESHIL STAR,650949,KILLESHIL STAR,UNPDZ,,False,bk,D,22/06/2019,DIE,Died/Put To Sleep,2022-09-13 07:33:00
KILLOTTERAN BEN,700405,KILLOTTERAN BEN,XTPII,,False,bkw,D,04/03/2021,DIE,Died/Put To Sleep,2022-08-07 07:32:00
KILLURE LACEY,116195,KILLURE LACEY,UNDZX,,False,bk,B,30/03/2019,DIE,Died/Put To Sleep,2022-09-02 07:33:00
KILLYBEGS PRIDE,132732,KILLYBEGS PRIDE,UDNYZ,,False,bk,D,19/06/2019,DIE,Died/Put To Sleep,2022-05-22 07:32:00
KILMACOW LILY,634384,KILMACOW LILY,XHDML,,True,bk,B,01/01/2021,RET,Still at premises,2022-04-23 06:22:00
KILMESSAN HAWK,655215,KILMESSAN HAWK,VVRYK,,False,bd,D,04/04/2020,RET,Transfer is complete,2022-09-17 07:33:00
KILMESSAN IVY,649387,KILMESSAN IVY,XTDYV,,False,bebd,B,25/01/2021,RET,Still at premises,2022-08-26 07:33:00
KILMESSAN STAR,247342,KILMESSAN STAR,XTLXD,,False,bd,D,25/01/2021,DIE,Died/Put To Sleep,2022-08-23 07:32:00
KILMILIL,56381,KILMILIL,RDJQB,,False,bk,D,08/08/2016,RET,Still at premises,2022-04-20 15:58:00
KILMONEY FIFI,820998,KILMONEY FIFI,XLVIJ,,False,bk,B,03/08/2021,DIE,Died/Put To Sleep,2022-07-20 07:32:00
KILMONEY JACK,374794,KILMONEY JACK,VLMLJ,,False,wdkbd,D,05/08/2020,EUT,Died/Put To Sleep,2022-09-12 07:33:00
KILMORE DIAMOND,702648,KILMORE DIAMOND,VSHAU,,False,bk,B,01/01/2020,RET,Still at premises,2022-03-17 06:04:00
KILMOYLEY LASS,358990,KILMOYLEY LASS,VYIPA,,False,bk,B,22/06/2020,EUT,Died/Put To Sleep,2022-09-13 07:33:00
KILNASEER,406453,KILNASEER,VXEHP,,False,bkw,D,04/02/2020,DIE,Died/Put To Sleep,2022-05-14 07:34:00
KILSHANIG HELAN,575358,KILSHANIG HELAN,ULEYE,,False,bk,B,08/08/2019,DIE,Died/Put To Sleep,2022-09-13 07:33:00
KILTEGAN PIXIE,441814,KILTEGAN PIXIE,XKKQK,,False,bkw,B,20/05/2021,DIE,Died/Put To Sleep,2022-06-02 07:34:00
KILTREA BRANDY,230435,KILTREA BRANDY,ULHRJ,,False,bd,D,02/10/2019,DIE,Died/Put To Sleep,2022-09-14 07:33:00
KILTREA DAWN,1019,KILTREA DAWN,SDVYB,31/01/2018,True,bd,B,03/08/2017,RET,Still at premises,2021-12-30 06:15:00
KILTREA SYDNEY,230325,KILTREA SYDNEY,ULMLM,,False,bk,D,02/10/2019,DIE,Died/Put To Sleep,2022-08-06 07:34:00
KIMBLE,191756,KIMBLE,VKMSN,,False,bk,D,18/11/2020,DIE,Died/Put To Sleep,2022-01-08 06:03:00
KINCORA AVATAR,269659,KINCORA AVATAR,VTHXZ,,False,bd,D,23/07/2020,DIE,Died/Put To Sleep,2022-05-22 07:32:00
KIND PADDY,254599,KIND PADDY,VXMHT,,True,bd,D,16/04/2020,RET,Still at premises,2022-07-14 07:32:00
KINGPIN,770879,KINGPIN,XVVRY,,False,bk,D,20/05/2021,DIE,Died/Put To Sleep,2022-09-02 07:33:00
KINGSFORD KITTY,547818,KINGSFORD KITTY,UDQYI,,False,bk,B,16/03/2019,DIE,Died/Put To Sleep,2022-02-28 06:30:00
KINGSMILL IZZY,497062,KINGSMILL IZZY,TDJYK,,False,bk,B,12/10/2017,DIE,Died/Put To Sleep,2022-09-02 07:33:00
KIPPAX KOMPANY,703329,KIPPAX KOMPANY,VBXDL,,False,bk,D,10/07/2020,EUT,Died/Put To Sleep,2022-09-11 07:34:00
KISH ATHENA,501911,KISH ATHENA,THNST,,True,be,B,01/05/2018,RET,Still at premises,2022-07-14 07:32:00
KISH DERRY,261,KISH DERRY,RJNPY,18/09/2017,False,bew,B,27/09/2016,DIE,Died/Put To Sleep,2021-06-16 09:13:00
KISHLAWN CONOR,865906,KISHLAWN CONOR,XXRNY,,False,bk,D,19/09/2021,DIE,Died/Put To Sleep,2022-09-14 07:33:00
KISHLAWN EIMOR,573005,KISHLAWN EIMOR,UTRIS,,False,bk,B,16/05/2019,DIE,Died/Put To Sleep,2022-09-01 07:33:00
KIT THE KICKER,667479,KIT THE KICKER,VXNUE,,False,bk,B,20/03/2020,DIE,Died/Put To Sleep,2022-09-16 07:33:00
KITMANS PRIDE,882326,KITMANS PRIDE,XKNBN,,False,bk,D,15/04/2021,EUT,Died/Put To Sleep,2022-09-07 07:34:00
KITMINS TOM,896175,KITMINS TOM,XRVTV,,False,bk,D,17/10/2021,EUT,Died/Put To Sleep,2022-02-28 06:30:00
KITS CRACKER,886553,KITS CRACKER,XXTKH,,False,bk,B,18/10/2021,DIE,Died/Put To Sleep,2022-09-01 07:33:00
KITS LIGHT,253530,KITS LIGHT,VYPNE,,False,bk,D,01/08/2020,DIE,Died/Put To Sleep,2022-06-17 07:33:00
KITS RAY,504576,KITS RAY,TKBZK,,False,bk,D,22/06/2018,DIE,Died/Put To Sleep,2022-09-14 07:33:00
KITTYS BUDDY,135,KITTYS BUDDY,RPYYH,22/06/2017,True,bk,B,22/06/2016,RET,Licence Unsuspended,2021-12-25 06:01:00
KITTYS RODDICK,10158,KITTYS RODDICK,TDZHR,13/03/2019,False,bd,B,06/10/2018,RET,Licence Unsuspended,2022-09-14 07:33:00
KITTYS SPIRIT,335752,KITTYS SPIRIT,VPLQE,,False,bkw,B,05/07/2020,EUT,Died/Put To Sleep,2022-07-11 07:32:00
KLOPPS WEE HONEY,353301,KLOPPS WEE HONEY,USRXM,,False,bk,B,20/05/2019,EUT,Died/Put To Sleep,2022-06-04 07:34:00
KLOPPS WEE JET,552457,KLOPPS WEE JET,USLBE,,False,bk,D,20/05/2019,EUT,Died/Put To Sleep,2022-09-14 07:33:00
KLOPPS WEE RUSH,441248,KLOPPS WEE RUSH,VSHQU,,False,bk,D,02/02/2020,DIE,Died/Put To Sleep,2022-07-02 07:34:00
KLOPPS WEE VIRG,736581,KLOPPS WEE VIRG,TSUDZ,,False,bk,D,10/07/2018,EUT,Died/Put To Sleep,2022-07-30 07:33:00
KNEE REV TED,386681,KNEE REV TED,XKKEK,,True,bk,D,02/06/2021,RET,Still at premises,2022-09-17 07:33:00
KNEE REV TOM,135063,KNEE REV TOM,UTPQS,,False,bk,D,13/06/2019,RET,Still at premises,2022-07-02 07:34:00
KNOCK JET,498914,KNOCK JET,SYRRB,,False,bkw,D,01/07/2017,RET,Still at premises,2022-08-29 07:33:00
KNOCK SKIPPER,158084,KNOCK SKIPPER,VPNVA,,False,bk,D,01/06/2019,RET,Still at premises,2022-09-16 07:33:00
KNOCKACRUMP OZ,73530,KNOCKACRUMP OZ,TPURD,,False,bk,D,13/05/2018,DIE,Died/Put To Sleep,2022-09-10 07:34:00
KNOCKANE AMBER,879739,KNOCKANE AMBER,XYMSK,,False,bk,B,15/10/2021,DIE,Died/Put To Sleep,2022-02-28 06:30:00
KNOCKANE GIRL,129329,KNOCKANE GIRL,UXHEJ,,False,bk,B,01/07/2019,RET,Still at premises,2022-01-26 06:06:00
KNOCKANE NOAH,890908,KNOCKANE NOAH,XLZEJ,,False,bk,B,02/11/2021,DIE,Died/Put To Sleep,2022-02-28 06:30:00
KNOCKANE ROCK,233870,KNOCKANE ROCK,VPBXN,,False,bd,D,05/12/2019,DIE,Died/Put To Sleep,2022-09-16 07:33:00
KNOCKANE SUNRISE,187610,KNOCKANE SUNRISE,VXDNK,,False,bk,B,17/10/2020,DIE,Died/Put To Sleep,2022-08-21 07:33:00
KNOCKARDTRY LADY,8186,KNOCKARDTRY LADY,TYHBV,10/01/2019,False,wbk,B,16/10/2018,DIE,Died/Put To Sleep,2022-04-22 06:07:00
KNOCKARDTRY TOP,458757,KNOCKARDTRY TOP,VRTYZ,,False,be,D,24/07/2020,EUT,Died/Put To Sleep,2022-08-26 07:33:00
KNOCKARDTRYCHLOE,432390,KNOCKARDTRYCHLOE,XDBHX,,False,bebd,B,05/06/2021,DIE,Died/Put To Sleep,2022-09-01 07:33:00
KNOCKARDTRYSNOWY,732949,KNOCKARDTRYSNOWY,XYTNX,,False,wbk,D,27/04/2021,DIE,Died/Put To Sleep,2022-09-01 07:33:00
KNOCKAVAHIG LASS,617623,KNOCKAVAHIG LASS,VYLSX,,False,bk,B,07/12/2020,DIE,Died/Put To Sleep,2022-09-07 07:34:00
KNOCKBAWN BUDDY,42,KNOCKBAWN BUDDY,QHRZH,27/06/2016,False,bk,D,01/05/2015,RET,Licence Unsuspended,2021-08-05 21:36:00
KNOCKBOY CAITLIN,1907,KNOCKBOY CAITLIN,SLLSL,29/05/2018,False,bew,B,04/06/2017,DIE,Died/Put To Sleep,2021-10-24 06:02:00
KNOCKDERRA HONEY,148111,KNOCKDERRA HONEY,UNYPI,,True,bk,B,06/10/2019,RET,Still at premises,2022-06-08 07:37:00
KNOCKDINE BLAKE,508744,KNOCKDINE BLAKE,TDIXD,,False,bk,D,05/07/2018,RET,Still at premises,2022-08-23 07:32:00
KNOCKDRINNA ELLA,110290,KNOCKDRINNA ELLA,UXVRV,,False,bd,B,22/02/2019,DIE,Died/Put To Sleep,2022-04-20 13:06:00
KNOCKDRUM COFFEY,759375,KNOCKDRUM COFFEY,XVHJL,,False,bk,D,12/05/2021,DIE,Died/Put To Sleep,2022-08-19 07:34:00
KNOCKDUFF BOCKO,913895,KNOCKDUFF BOCKO,XDZRS,,False,bkw,D,01/10/2021,DIE,Died/Put To Sleep,2022-09-14 07:33:00
KNOCKDUFF EXPRES,249764,KNOCKDUFF EXPRES,VKUTX,,False,be,D,30/03/2020,DIE,Died/Put To Sleep,2022-09-16 07:33:00
KNOCKMANT BELLE,379,KNOCKMANT BELLE,RNXUN,27/10/2017,True,bk,B,12/10/2016,RET,Still at premises,2022-08-25 07:34:00
KNOCKMANT DONALD,10741,KNOCKMANT DONALD,TNPMP,28/03/2019,False,bk,D,04/08/2018,DIE,Died/Put To Sleep,2021-10-11 06:01:00
KNOCKMITTEN BOO,509888,KNOCKMITTEN BOO,TTRKB,,False,bk,B,16/08/2018,DIE,Died/Put To Sleep,2022-02-28 06:30:00
KNOCKNABOUL AERO,260,KNOCKNABOUL AERO,RYMMH,13/09/2017,False,bk,D,04/10/2016,EUT,Died/Put To Sleep,2022-01-01 06:13:00
KNOCKNABOUL NOR,558229,KNOCKNABOUL NOR,UYETJ,,False,bk,B,17/06/2019,DIE,Died/Put To Sleep,2022-09-04 07:32:00
KNOCKNABOUL SNAP,18102,KNOCKNABOUL SNAP,UYYXD,10/10/2019,False,bk,D,17/06/2019,DIE,Died/Put To Sleep,2021-12-04 06:05:00
KNOCKNADOGUE JAN,94886,KNOCKNADOGUE JAN,TXUDI,,False,bd,B,01/10/2018,DIE,Died/Put To Sleep,2022-08-12 07:34:00
KNOCKNADOGUE TOM,899117,KNOCKNADOGUE TOM,XXXZK,,False,wf,D,08/11/2021,DIE,Died/Put To Sleep,2022-04-20 14:25:00
KNOCKNAREA BONO,883964,KNOCKNAREA BONO,XPZXN,,False,bk,D,05/10/2021,DIE,Died/Put To Sleep,2022-09-17 07:33:00
KNOCKNAREA HI,271051,KNOCKNAREA HI,XYPSA,,False,wbd,D,13/02/2021,EUT,Died/Put To Sleep,2022-06-02 07:34:00
KNOCKNAREA SYD,858448,KNOCKNAREA SYD,VYALQ,,False,bk,D,04/09/2020,DIE,Died/Put To Sleep,2022-09-13 07:33:00
KNOCKNASEED JANE,874084,KNOCKNASEED JANE,VYKBA,,False,bd,B,14/08/2020,EUT,Died/Put To Sleep,2022-09-08 07:33:00
KNOCKNATULLA BOY,675504,KNOCKNATULLA BOY,UTBYI,,False,bk,D,25/07/2019,DIE,Died/Put To Sleep,2022-09-07 07:34:00
KNOCKOUT HONEY,92208,KNOCKOUT HONEY,THIXR,,False,bd,B,19/09/2018,RET,,2022-04-20 14:45:00
KNOCKROE GOLDEN,99083,KNOCKROE GOLDEN,TXKEN,,False,f,D,07/10/2018,DIE,Died/Put To Sleep,2022-02-28 06:30:00
KNOCKROE LEE,120834,KNOCKROE LEE,UXVMV,,False,bk,D,02/05/2019,DIE,Died/Put To Sleep,2022-08-19 07:34:00
KNOCKROE SIR,258499,KNOCKROE SIR,VXLXA,,False,bk,D,07/04/2020,DIE,Died/Put To Sleep,2022-08-06 07:34:00
KNOCKROE STORM,120853,KNOCKROE STORM,UXTES,,False,bk,D,02/05/2019,DIE,Died/Put To Sleep,2022-08-19 07:34:00
KNOCKROUR DALTON,237479,KNOCKROUR DALTON,VLEZX,,False,bk,D,27/06/2020,DIE,Died/Put To Sleep,2022-06-27 07:32:00
KNOCKTOO MAID,70572,KNOCKTOO MAID,TPQMZ,,True,bk,B,27/03/2018,RET,Still at premises,2022-08-19 07:34:00
KNOCKTOO TED,1172,KNOCKTOO TED,RBTAJ,14/02/2018,True,bk,D,15/09/2016,RET,Still at premises,2022-01-08 06:03:00
KNOTTS LANDING,165184,KNOTTS LANDING,UKTRX2,,False,bk,B,17/07/2019,RET,,2022-01-27 06:03:00
KNUCKLEHEAD,343556,KNUCKLEHEAD,VDNPS,,False,be,D,17/05/2020,DIE,Died/Put To Sleep,2022-09-16 07:33:00
KORANDO,517332,KORANDO,TNQBP,,False,bk,D,04/09/2018,DIE,Died/Put To Sleep,2022-08-02 07:32:00
KOSMOS STAR,427233,KOSMOS STAR,VHYIK,,False,bk,B,10/07/2020,DIE,Died/Put To Sleep,2022-06-29 07:32:00
KOSY SHANKS,560500,KOSY SHANKS,UDPKD,,False,wbk,D,10/06/2019,DIE,Died/Put To Sleep,2022-09-17 07:33:00
KUMA BRISLANE,193173,KUMA BRISLANE,VVYYK,,False,bk,D,02/10/2020,DIE,Died/Put To Sleep,2022-09-16 07:33:00
KUMA TANSY,904035,KUMA TANSY,XVLHI,,False,bk,B,01/11/2021,DIE,Died/Put To Sleep,2022-05-06 14:26:00
KUTO STAR,883573,KUTO STAR,VYKHA,,False,bd,D,17/08/2020,DIE,Died/Put To Sleep,2022-09-16 07:33:00
KYLAR ROCKS,912396,KYLAR ROCKS,XBIXE,,False,bkw,D,05/11/2021,EUT,Died/Put To Sleep,2022-03-12 06:03:00
KYLENOE BEST,148900,KYLENOE BEST,UXBQA,,False,bk,D,08/09/2019,DIE,Died/Put To Sleep,2022-05-26 07:33:00
KYLENOE MAID,774127,KYLENOE MAID,VXQAP,,False,bk,B,19/09/2020,RET,Still at premises,2022-09-05 07:31:00
KYLENOE STEPH,576922,KYLENOE STEPH,UXBXX,,True,bk,B,08/09/2019,RET,Transfer is complete,2022-09-05 07:31:00
KYLETAUN TOM,779536,KYLETAUN TOM,XXPIH,,False,bk,D,08/06/2021,DIE,Died/Put To Sleep,2022-08-07 07:32:00
LABANA GOOCH,218,LABANA GOOCH,RYIBB,16/08/2017,False,be,D,01/06/2016,EUT,Died/Put To Sleep,2021-07-16 09:32:00
LABANA SKY,499884,LABANA SKY,TLLSZ,,True,wbk,B,17/04/2018,RET,Still at premises,2022-08-13 07:33:00
LABANA WHACK,491678,LABANA WHACK,SLJSI,,True,bk,B,12/10/2017,RET,Still at premises,2022-08-13 07:33:00
LABELLANOIR,669421,LABELLANOIR,UXZDV,,False,bk,B,01/07/2019,DIE,Died/Put To Sleep,2022-09-16 07:33:00
LACKEN BLUEBELL,101280,LACKEN BLUEBELL,TXPZV,,True,bew,B,24/10/2018,RET,Still at premises,2022-09-14 07:33:00
LADS ERIN,107734,LADS ERIN,UXRVZ,,False,bk,B,12/01/2019,EUT,Died/Put To Sleep,2022-04-29 06:03:00
LADSLADSLETSGO,96784,LADSLADSLETSGO,TNJEI,,True,bk,D,24/09/2018,RET,Still at premises,2022-07-15 07:32:00
LADY ALEXA,652028,LADY ALEXA,ULYED,,False,bebd,B,10/03/2019,DIE,Died/Put To Sleep,2022-09-12 07:33:00
